Shape of doc-doc similarity matrix:  (1573, 1573)
Shape of term document matrix:  (6412, 1573)
******************************************************
#documents: 1573
#tokens: 6412
max number of iterations: 500
#topics: 10
alpha: 1
stop criterion: 0.1
******************************************************
loop begin
loop begin
Step=0, Loss=12884.102551629607, Time=0.14555072784423828s
Step=1, Loss=12403.439233704807, Time=0.27645421028137207s
Step=2, Loss=12117.19089351103, Time=0.42556047439575195s
Step=3, Loss=11898.041874007224, Time=0.5771615505218506s
Step=4, Loss=11792.381497622373, Time=0.730337381362915s
Step=5, Loss=11720.689158774718, Time=0.8765804767608643s
Step=6, Loss=11673.996371672929, Time=1.0412249565124512s
Step=7, Loss=11641.03246177085, Time=1.1864817142486572s
Step=8, Loss=11614.437655550359, Time=1.3542299270629883s
Step=9, Loss=11595.46020355739, Time=1.5055954456329346s
Step=10, Loss=11583.175788301854, Time=1.6484625339508057s
Step=11, Loss=11574.314095871026, Time=1.7983849048614502s
Step=12, Loss=11567.477025277234, Time=1.9527015686035156s
Step=13, Loss=11562.217582615896, Time=2.0853452682495117s
Step=14, Loss=11558.112800086543, Time=2.244166851043701s
Step=15, Loss=11554.747826898218, Time=2.396578550338745s
Step=16, Loss=11551.767251052454, Time=2.539538621902466s
Step=17, Loss=11548.988185175505, Time=2.686932325363159s
Step=18, Loss=11546.496519358981, Time=2.8251793384552s
Step=19, Loss=11544.265002975771, Time=2.9594380855560303s
Step=20, Loss=11542.357953494033, Time=3.1054883003234863s
Step=21, Loss=11540.750354310696, Time=3.2591238021850586s
Step=22, Loss=11539.35517312094, Time=3.40035343170166s
Step=23, Loss=11538.042793726734, Time=3.5552237033843994s
Step=24, Loss=11536.91623186169, Time=3.7253055572509766s
Step=25, Loss=11535.971539153024, Time=3.872063636779785s
Step=26, Loss=11535.101076772222, Time=4.025385141372681s
Step=27, Loss=11534.280134528837, Time=4.184093713760376s
Step=28, Loss=11533.466245533997, Time=4.345438480377197s
Step=29, Loss=11532.638339048674, Time=4.512837171554565s
Step=30, Loss=11531.723774477621, Time=4.665285348892212s
Step=31, Loss=11530.648147460117, Time=4.818892240524292s
Step=32, Loss=11529.33206334669, Time=4.9664201736450195s
Step=33, Loss=11527.702129060091, Time=5.115336894989014s
Step=34, Loss=11525.644590277898, Time=5.295577049255371s
Step=35, Loss=11523.026512614626, Time=5.556570053100586s
Step=36, Loss=11519.799214120916, Time=5.805449962615967s
Step=37, Loss=11516.16500162894, Time=6.029649972915649s
Step=38, Loss=11512.66979564462, Time=6.242684602737427s
Step=39, Loss=11509.827350968179, Time=6.413114786148071s
Step=40, Loss=11507.644993492651, Time=6.586372375488281s
Step=41, Loss=11506.133686300993, Time=6.740094423294067s
Step=42, Loss=11505.12074662367, Time=6.891302108764648s
Step=43, Loss=11504.431834402712, Time=7.035520076751709s
Step=44, Loss=11503.98220995028, Time=7.178379535675049s
Step=45, Loss=11503.60034900987, Time=7.329116582870483s
Step=46, Loss=11503.215102046493, Time=7.475222587585449s
Step=47, Loss=11502.793594917905, Time=7.620087385177612s
Step=48, Loss=11502.28904955359, Time=7.780312776565552s
Step=49, Loss=11501.673674842395, Time=7.922577142715454s
Step=50, Loss=11500.932557752692, Time=8.070602655410767s
Step=51, Loss=11500.065054577528, Time=8.20883297920227s
Step=52, Loss=11499.136418900574, Time=8.355331420898438s
Step=53, Loss=11498.186129248117, Time=8.495283603668213s
Step=54, Loss=11497.260428871345, Time=8.64525580406189s
Step=55, Loss=11496.393504916161, Time=8.79598069190979s
Step=56, Loss=11495.64240229489, Time=8.930290699005127s
Step=57, Loss=11495.058587091427, Time=9.083022832870483s
Step=58, Loss=11494.649708102763, Time=9.24191164970398s
Step=59, Loss=11494.32946418034, Time=9.39045238494873s
Step=60, Loss=11494.060238152626, Time=9.545448303222656s
Step=61, Loss=11493.835634792136, Time=9.692638874053955s
Step=62, Loss=11493.635862939058, Time=9.845267057418823s
Step=63, Loss=11493.46638062583, Time=9.995221138000488s
Step=64, Loss=11493.321548527676, Time=10.165685415267944s
Step=65, Loss=11493.194282212806, Time=10.328980445861816s
Step=66, Loss=11493.086384657217, Time=10.479875564575195s
Saved topic keywords!
Saved TSNE document embeddings!
Saved word-topic matrix heatmap!
Saved doc-topic matrix heatmap!
Saved topic coherence score!
